Date,Bee_color,Nest_Number,Time_Entered,Time_Exited
6/16/25,purple,4,N/A,10:30
6/16/25,purple,4,10:53,11:01
6/16/25,purple,4,11:52,11:59
6/16/25,purple,4,12:26,12:29
6/16/25,purple,4,1:09,1:19
6/16/25,orange,7,N/A,10:41
6/16/25,orange,7,12:38,12:42
6/16/25,white,14,N/A,10:41
6/16/25,white,15,1:29,N/A
6/16/25,blue,13,N/A,10:51
6/16/25,blue,13,12:24,12:44
6/16/25,blue,13,1:24,1:31
6/16/25,yellow,12,N/A,11:07
6/16/25,yellow,12,11:20,11:49
6/16/25,yellow,12,1:29,N/A
6/16/25,OP,9,N/A,11:13
6/16/25,OP,10,11:44,12:05
6/16/25,OP,8,12:19,12:59
6/16/25,OP,5,1:00,1:02
6/16/25,BG,2,N/A,11:21
6/16/25,BG,2,11:50,11:51
6/16/25,BG,2,11:51,11:54
6/16/25,BG,3,12:21,12:57
6/16/25,BG,6,1:10,1:14
6/16/25,Silver,11,N/A,11:24
6/17/25,orange,7,N/A,9:45
6/17/25,white,15,N/A,9:22
6/17/25,white,15,9:42,N/A
6/17/25,BG,16,N/A,9:10
6/17/25,GP,12,N/A,8:50
6/17/25,GP,12,N/A,9:55
6/18/25,green,7,12:50,12:53
6/18/25,orange,24,10:45,11:22
6/18/25,orange,24,12:04,12:13
6/18/25,white,15,11:36,11:39
6/18/25,white,15,11:55,11:58
6/18/25,white,15,12:26,12:30
6/18/25,white,15,12:43,12:46
6/18/25,white,15,1:03,1:05
6/18/25,yellow,21,N/A,9:14
6/18/25,yellow,21,10:05,10:09
6/18/25,BG,16,N/A,9:10
6/18/25,BG,18,10:08,10:08
6/18/25,BG,19,N/A,9:17
6/18/25,GP,12,9:43,9:47
6/18/25,GP,12,12:22,12:23
6/18/25,PiY,1,N/A,9:20
6/18/25,PiY,1,10:34,10:45
6/18/25,BY,23,10:06,10:08
6/18/25,BY,23,10:11,10:14
6/18/25,BY,22,11:42,11:44
6/18/25,BY,22,12:22,12:26
6/18/25,GPi,20,N/A,9:26
6/18/25,GPi,20,10:12,10:34
6/18/25,GS,11,9:08,10:13
6/18/25,BP,25,10:50,11:02
6/18/25,BP,25,11:39,12:28
6/18/25,BP,25,12:46,12:58
6/18/25,PY,26,11:02,11:04
6/18/25,PY,29,12:16,12:18
6/18/25,PY,29,12:37,12:43
6/23/25,OPi,28,N/A,9:04
6/23/25,OPi,28,10:00,10:06
6/23/25,BAu,30,N/A,9:15
6/23/25,BAu,30,12:11,12:17
6/23/25,BAu,30,12:49,12:57
6/23/25,OY,14,N/A,9:17
6/23/25,OW,13,N/A,9:21
6/23/25,OW,13,9:40,10:15
6/23/25,OW,13,12:13,12:18
6/23/25,OW,13,1:10,1:16
6/23/25,unknown,19,9:24,9:30
6/23/25,unknown,17,N/A,9:32
6/23/25,unknown,27,11:24,11:29
6/23/25,unknown,32,11:36,12:25
6/23/25,unknown,27,12:49,12:57
6/23/25,unknown,18,1:00,1:02
6/23/25,GY,20,9:27,9:47
6/23/25,BW,23,N/A,9:27
6/23/25,BO,33,9:44,9:49
6/23/25,BO,33,12:00,12:07
6/23/25,BO,33,12:38,12:44
6/23/25,PY,29,9:44,9:49
6/23/25,PY,29,12:05,12:07
6/23/25,GO,34,9:55,9:58
6/23/25,GO,34,10:33,N/A
6/23/25,GP,12,10:36,10:43
6/23/25,Pi/P,14,11:27,11:29
6/23/25,Pi/P,12,12:28,12:31
6/23/25,Gold,21,11:41,12:14
6/23/25,darkgreen,10,11:43,12:35
6/23/25,BAu,30,12:11,12:17
6/23/25,BAu,30,12:49,12:57
6/23/25,DgW,23,12:51,1:28
6/24/25,DgW,23,N/A,10:19
6/24/25,DgPi,3,10:39,10:42
6/24/25,DgPi,3,N/A,11:28
6/24/25,DgPi,3,12:42,1:17
6/24/25,BAu,30,N/A,10:45
6/24/25,BAu,30,1:11,1:14
6/24/25,BO,33,N/A,10:52
6/24/25,BO,33,10:52,10:53
6/24/25,White,15,N/A,10:57
6/24/25,White,15,11:12,11:27
6/24/25,OW,13,N/A,11:01
6/24/25,OW,13,N/A,12:59
6/24/25,B/P,25,N/A,11:04
6/24/25,Gold,18,N/A,11:10
6/24/25,Gold,13,11:58,11:58
6/24/25,Dg/Y,22,N/A,11:17
6/24/25,Dg/Y,22,12:34,12:55
6/24/25,PY,29,N/A,11:23
6/24/25,PY,29,12:47,12:49
6/24/25,PY,29,12:49,N/A
6/24/25,GY,20,N/A,11:27
6/24/25,GY,20,11:32,11:38
6/24/25,GY,20,12:27,12:31
6/24/25,GY,20,12:31,12:33
6/24/25,GY,20,1:21,N/A
6/24/25,unknown,32,N/A,11:32
6/24/25,unknown,32,12:14,12:57
6/24/25,unknown,19,1:00,N/A
6/24/25,PiP,14,N/A,12:00
6/24/25,PiP,14,12:34,12:37
6/24/25,PiP,14,12:37,12:45
6/24/25,Orange,24,N/A,11:42
6/24/25,DgO,17,11:49,12:00
6/24/25,DgO,17,12:03,12:04
6/24/25,DgO,17,1:13,N/A
6/24/25,OY,34,12:02,12:11
6/24/25,BDg,19,N/A,12:07
6/24/25,GP,12,12:17,12:19
6/24/25,GP,12,12:41,12:42
6/24/25,GP,12,12:42,12:50
6/24/25,GP,12,12:51,1:04
6/24/25,GP,12,1:04,1:05
6/24/25,DgP,21,N/A,12:20