,,,,
Date,Time,Temperature ËšF,,Data sheet notes* Temperature was taken by Thermo-Hydro weather logger device
6/17/25,8:05,75,,
6/17/25,8:15,75,,
6/17/25,8:25,77,,
6/17/25,8:35,77,,
6/17/25,8:45,77,,
6/17/25,8:55,78,,
6/17/25,9:05,80,,
6/17/25,9:15,82,,
6/17/25,9:25,80,,
6/17/25,9:35,80,,
6/17/25,9:45,78,,
6/17/25,9:55,80,,
6/18/25,9:15,77,2.5,
6/18/25,9:25,77,3.4,
6/18/25,9:35,82,3.1,
6/18/25,9:45,82,3.4,
6/18/25,9:55,86,2.4,
6/18/25,10:05,86,3.1,
6/18/25,10:15,86,3.2,
6/18/25,10:25,87,4.5,
6/18/25,10:35,87,4,
6/18/25,10:45,87,5.3,
6/18/25,10:55,89,2.6,
6/18/25,11:05,87,3.9,
6/18/25,11:15,87,2,
6/18/25,11:25,87,4.2,
6/18/25,11:35,87,3.6,
6/18/25,11:45,89,3.1,
6/18/25,11:55,89,4.3,
6/18/25,12:05,93,3.6,
6/18/25,12:15,93,2.9,
6/18/25,12:25,93,3,
6/18/25,12:35,95,3.6,
6/18/25,12:45,93,3.2,
6/18/25,12:55,95,4.2,
6/18/25,1:05,93,0.9,
6/23/25,9:25,77,3,
6/23/25,9:35,82,2.4,
6/23/25,9:45,84,2.9,
6/23/25,9:55,84,2.1,
6/23/25,10:05,84,3.5,
6/23/25,10:15,82,3.6,
6/23/25,10:25,82,4,
6/23/25,10:35,82,2.1,
6/23/25,10:45,82,3.2,
6/23/25,10:55,82,3.8,
6/23/25,11:05,82,4.9,
6/23/25,11:15,86,3.7,
6/23/25,11:25,86,2.4,
6/23/25,11:35,91,2.1,
6/23/25,11:45,93,2.7,
6/23/25,11:55,93,3,
6/23/25,12:05,93,2.1,
6/23/25,12:15,95,3.5,
6/23/25,12:25,95,4,
6/23/25,12:35,95,4.2,
6/23/25,12:45,95,6.1,
6/23/25,12:55,95,2.6,
6/23/25,1:05,93,3.9,
6/23/25,1:15,93,1.2,
6/23/25,1:25,94,3,
6/23/25,1:35,95,5.5,
6/24/25,10:05,71,0,
6/24/25,10:15,73,3.4,
6/24/25,10:25,73,2.3,
6/24/25,10:35,71,3,
6/24/25,10:45,73,2.8,
6/24/25,10:55,75,3.4,
6/24/25,11:05,77,2.3,
6/24/25,11:15,77,2.1,
6/24/25,11:25,77,3.8,
6/24/25,11:35,78,2.4,
6/24/25,11:45,78,2.2,
6/24/25,11:55,77,4.9,
6/24/25,12:05,77,4,
6/24/25,12:15,77,2.8,
6/24/25,12:25,77,3.2,
6/24/25,12:35,78,2.9,
6/24/25,12:45,77,1.1,
6/24/25,12:55,77,0.7,
6/24/25,1:05,78,0,
6/24/25,1:15,78,2.3,
6/24/25,1:25,78,3,